row,source_code,source_name,source_address,source_phone,status,score,name_score,address_score,phone_score,notion_name,notion_address,notion_type,notion_code,notion_page_id,second_name,second_score
81,241046,精品技研所(統合),新北市三重區聯華街109號1樓,2280-5607 0932-083446,review,0.635,0.406,1,0,精品牙體技術所,新北市三重區聯華街109號1樓,牙體技術所,2Y31020103,335dcdaa-fb2a-81db-8715-e99c486ad5a4,水晶寶技研所,0.308
91,241088,雲啟牙體技術所,新北市三重區六張街126巷2弄25號1樓,2981-8689,review,0.77,0.5,1,1,雲起牙體技術所,新北市三重區六張街126巷2弄25號1樓,牙體技術所,2Y31020158,335dcdaa-fb2a-81da-bc6f-efb0aa893e5c,華雲牙體技術所,0.35
93,241090,盛景牙體技術所(鈺程),新北市三重區自強路二段40巷2之1號1樓,8287-0021. 0905-031970,review,0.76,0.62,1,0,盛景牙體技術所,新北市三重區自強路二段40巷2之1號1樓,牙體技術所,2Y31020587,335dcdaa-fb2a-816a-9a68-ca737ee03364,華盛牙體技術所,0.253
95,241094,晶創牙體技術所(李偉新先生),新北市三重區仁義街241巷2號1樓,02-8982-5994,review,0.754,0.52,0.92,1,晶創牙體技術所,新北市三重區仁義街241巷2號,牙體技術所,2Y31020354,335dcdaa-fb2a-811f-ab66-c398878ead3e,偉新牙醫診所,0.362
99,242010,永新技工所(李建毅先生),新北市新莊區思源路205號3F,0925-900028,review,0.682,0.52,1,0,永新牙體技術所,新北市新莊區思源路205號3F,牙體技術所,,336dcdaa-fb2a-8100-a0eb-e123341241b2,永新牙體技術所,0.362
101,242046,益德技工所(翁宗德先生),新北市五股區成泰路3段68號2F,8992-7111 /0933-870549,review,0.682,0.52,1,0,益德牙體技術所,新北市五股區成泰路3段68號2F,牙體技術所,,336dcdaa-fb2a-8106-9312-e2c659d69790,鑫亞牙體技術所,0.247
107,244005,森齒研牙體技術所,新北市林口區中山路532號3樓之10,985977539,review,0.72,1,0,1,森齒研牙體技術所,新北市蘆洲區中山一路284號7樓,牙體技術所,2Y31140379,335dcdaa-fb2a-81d4-948c-c71a33577471,微美齒研公司,0.371
110,247014,聯大牙體技術所(蘆洲),新北市蘆洲區明義街68巷5號1樓,02)2847-3232,review,0.738,0.62,0.7,1,聯大牙體技術所,新北市蘆洲區民義街68巷5號1樓,牙體技術所,2Y31140299,335dcdaa-fb2a-81cc-9790-c317b7848ac8,聯大牙醫診所,0.42
114,247027,品劼齒科技工所,新北市蘆洲區中山一路282號7F,2984-0584  0917-654558,review,0.687,0.62,0.55,1,品劼牙體技術所,新北市蘆洲區中山一路282號7樓,牙體技術所,2Y31140182,335dcdaa-fb2a-81a5-8c01-faad0225169c,森齒研牙體技術所,0.413
119,251010,榮興牙體技術所(李家文先生),新北市淡水區北新路72號2樓,8631-1220  0970-255351,review,0.702,0.52,1,0,榮興牙體技術所,新北市淡水區北新路72號2樓,牙體技術所,2Y31100017,335dcdaa-fb2a-81c1-b9ef-ca80e5b7ebda,成泰數位牙體技術所,0.247
128,268003,鴻文牙體技術所,宜蘭縣五結鄉國民南路6-2號,03-950-3844,review,0.72,1,0,1,鴻文牙體技術所,宜蘭縣五結鄉五結村國民南路6之2號,牙體技術所,2Y34090027,335dcdaa-fb2a-8106-9c0d-e6b19fa355d9,鴻文牙醫診所,0.35
130,300005,喬恩牙體技術所,新竹市光復路1段531巷76之1號,03-5798576 / (H)03-5325936,review,0.64,1,0,0,喬恩牙體技術所,新竹市東區仙水里光復路一段531巷72之2號1樓,牙體技術所,2Y12010070,335dcdaa-fb2a-8142-96be-c50d3fbd529d,慈恩牙體技術所,0.35
133,300054,慶昇牙體技術所,新竹市明湖路213巷23弄8之1號,(03)562-0083,review,0.72,1,0,1,慶昇牙體技術所,新竹市東區新光里明湖路213巷23弄8-1號2樓,牙體技術所,2Y12010061,335dcdaa-fb2a-81db-b69f-e4caf880f170,傑聖牙體技術所,0.38
137,302017,雅德思牙醫診所,新竹縣竹北市莊敬南路162號,03-6586236,review,0.771,0.549,0.92,1,雅德思植牙美學牙醫診所,新竹縣竹北市莊敬南路162號1樓及2樓,牙醫診所,3733051934,335dcdaa-fb2a-818b-b7d1-f177096ba699,雅德思牙醫診所,0.35
138,303007,永成技工所(張永堂先生),新竹縣湖口鄉中正路1段263巷6弄11號,03-5904802(O)/03-4638293(H 0933-999467,review,0.682,0.52,1,0,永成牙體技術所,新竹縣湖口鄉中正路1段263巷6弄11號,牙體技術所,,336dcdaa-fb2a-8159-9668-ecb1424750a8,昇陽牙醫診所,0.247
155,320027,天晟醫院,桃園市中壢區民權路175號,,review,0.64,1,0,0,天成醫院,桃園市楊梅區中山北路一段三五六號,醫院,1532040039,335dcdaa-fb2a-819d-b4c1-efeaebf28716,國華牙材,0.353
166,324009,名揚技工所(陳貴宗先生),桃園縣平鎮市福林里5鄰39號,03-4501982 / 0932-522325,review,0.58,0.52,0.7,0,名揚牙體技術所,桃園市平鎮區福林里5鄰39號,牙體技術所,,336dcdaa-fb2a-814f-9988-f7e04b44ef68,名揚牙醫診所,0.362
172,324018,捷安技工所(傅穗舟先生),桃園縣平鎮市東豐路528巷1弄12號,03)4602-036,review,0.58,0.52,0.7,0,捷安牙體技術所,桃園市平鎮區東豐路528巷1弄12號,牙體技術所,,336dcdaa-fb2a-81a7-8715-fc63d93d2173,傅牙醫診所,0.246
184,328002,仁和牙科技工所,桃園縣觀音鄉崙坪村忠愛路3段230號,03-4080210 / 0910-277339(高先生),review,0.638,0.62,0.7,0,仁和牙科牙體技術所,桃園市觀音區崙坪里忠愛路3段230號,牙體技術所,,336dcdaa-fb2a-8191-8302-e1e8bcf6f513,仁和牙醫診所,0.35
189,330005,永新技工所(桃園),桃園市樹林四街97巷2之1號1樓,03-3756529 / 03-4905050.0915-438252,review,0.638,0.62,0.7,0,永新牙體技術所,桃園市桃園區樹林四街97巷2之1號1樓,牙體技術所,,336dcdaa-fb2a-8163-add6-c2f944cef320,桃園一日誠臻牙醫診所,0.292
195,330013,祥展牙體技術所(建泰),桃園市春日路302號,03-3350163 0906-113-526,review,0.587,0.62,0.55,0,祥展牙體技術所,桃園市桃園區春日路302號,牙體技術所,,336dcdaa-fb2a-81d5-903f-c8e54112c40f,弘泰牙體技術所,0.253
197,330015,昶勝牙體技術所(金典),桃園市大明街55號,03-3758087 / 0932-096345,review,0.687,0.62,0.55,1,昶勝牙體技術所,桃園市桃園區大明街55號1樓,牙體技術所,2Y32010361,335dcdaa-fb2a-819a-8f5e-d6d7731509ca,昶勝牙體技術所,0.587
204,330033,精工牙體技術所(劉先生),桃園市興一街53號,03-3257855,review,0.683,0.787,0.55,0,精工牙體技術所,桃園市桃園區興一街53號,牙體技術所,,336dcdaa-fb2a-81a1-b751-f4ff897328e9,精品牙醫診所,0.292
213,330055,浩新牙體技術所(蕭先生),桃園市青田街161號1樓,0930-200611,review,0.754,0.787,0.7,0,浩新牙體技術所,桃園市桃園區青田街161號1樓,牙體技術所,未立案,336dcdaa-fb2a-81a8-8f54-fb2816c34e98,浩新牙體技術所,0.516
218,330063,優耐特牙體技術所,桃園市桃園區中山路1000號3樓之2,0911-500389,review,0.35,1,0,0,優耐特牙體技術所,臺南市中西區淺草里正德街37巷3號1樓,牙體技術所,2Y05340018,335dcdaa-fb2a-8145-b8c9-c33b3da562f6,優科牙體技術所,0.292
219,330065,詮鈦牙醫診所,桃園市桃園區春日路860號,(03)3466-468,review,0.72,1,0,1,詮鈦牙醫診所,桃園市桃園區正光路366號1樓及368號1樓,牙醫診所,3732013921,335dcdaa-fb2a-81fe-9eca-d1efc1e68a99,桔蒔美學牙醫診所,0.373
222,330069,京鼎牙醫診所(瑞安),桃園市桃園區新埔六街87號,0903-594-312,review,0.76,0.62,1,0,京鼎牙醫診所,桃園市桃園區新埔六街87號,牙醫診所,3732014179,335dcdaa-fb2a-8128-a004-ea3ecf6ac464,信安牙體技術所,0.253
228,330088,藝圻牙體技術所,,,review,0.64,1,0,0,藝圻牙體技術所,桃園市八德區介壽路2段325巷37號1樓,牙體技術所,2Y32080194,335dcdaa-fb2a-813f-8cde-f65c7a2b65fd,欣藝牙醫診所,0.35
238,334004,舒潔牙體技術所(李先生),八德市忠勇街377巷8號5F,0925-797880,review,0.734,0.787,0.7,0,舒潔牙體技術所,桃園市八德區忠勇街377巷8號5F,牙體技術所,,336dcdaa-fb2a-815b-af04-eeaed64dea31,李牙醫診所,0.323
245,335003,鴻海技工所(陳介智先生),桃園縣大溪鎮文化路129巷21號,03-3884566 0926-084199,review,0.58,0.52,0.7,0,鴻海牙體技術所,桃園市大溪區文化路129巷21號,牙體技術所,,336dcdaa-fb2a-81ed-8448-ec75a2465163,國家中山科學研究院石園牙醫診所,0.247
247,338001,宏霖技工所(宏昇),桃園縣蘆竹鄉新興街344巷63弄10號,03-3441245,review,0.638,0.62,0.7,0,宏霖牙體技術所,桃園市蘆竹區新興街344巷63弄10號,牙體技術所,,336dcdaa-fb2a-8131-90dc-db7c514cde40,源昇牙體技術所,0.253
